row_id,frase_original,frase_corregida,carousel_id,caption,post_tipo,carousel_order,carousel_caption,modo,background_color,output_file,fecha_generado,media_url,cloudinary_public_id,fecha_upload,instagram_media_id,instagram_creation_id,facebook_post_id,facebook_photo_id,fecha_publicado,estado_general,estado_render,estado_upload,estado_publish,lock_status,intentos,last_cycle_id,updated_at,hashtags,caption_status,error_step,error_message,likes,comments,saves,reach,views,engagement_rate,performance_score,fecha_metricas
1,Quieren ser como yo pero nadie puede llegar a este nivel de autocrítica y profunda soledad,Quieren ser como yo pero nadie puede llegar a este nivel de autocrítica y profunda soledad.,,El problema no es la soledad… es el nivel.,single,,,,#f4c400,quieren_ser_como_yo_pero_nadie_puede_llegar_a_este_nivel_de__retro3d_1777979186953.png,2026-05-05T11:06:29.768Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777979191/mono_generator/quieren_ser_como_yo_pero_nadie_puede_llegar_a_este_nivel_de__retro3d_1777979186953.png,mono_generator/quieren_ser_como_yo_pero_nadie_puede_llegar_a_este_nivel_de__retro3d_1777979186953,2026-05-05T11:06:32.273Z,18152987728463404,17860816146687548,1097828466747607_122109495470734652,122109495446734652,2026-05-05T11:06:52.535Z,published,done,done,done,free,,1777979183168,2026-05-05T11:06:52.535Z,#actitud #frases #colombia #parati #real,,,,6,0,1,38,79,0.1842,0.2368,2026-05-22T05:06:11-05:00
2,Un amigo le dice “pesca deportiva” a responder historias sin intención de concretar… solo por el gusto de coquetear,"Un amigo le dice ""pesca deportiva"" a responder historias sin intención de concretar… solo por el gusto de coquetear",,Coquetear sin concretar también debería ser deporte olímpico.,single,,,,#f4c400,un_amigo_le_dice_pesca_deportiva_a_responder_historias_sin_i_retro3d_1777683729529.png,2026-05-02T01:02:11.403Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777683732/mono_generator/un_amigo_le_dice_pesca_deportiva_a_responder_historias_sin_i_retro3d_1777683729529.png,mono_generator/un_amigo_le_dice_pesca_deportiva_a_responder_historias_sin_i_retro3d_1777683729529,2026-05-02T01:02:13.265Z,17943661560189152,17860231794687548,1097828466747607_122108596682734652,122108596664734652,2026-05-02T01:02:34.331Z,published,done,done,done,free,,1777683726679,2026-05-02T01:02:34.331Z,#coqueteo #relaciones #humor #colombia #frases #parati #viral,,,,1,0,0,31,52,0.0323,0.0323,2026-05-22T05:06:11-05:00
3,"No te extraño a vos, extraño la versión mía que aguantaba todo por vos","No te extraño a vos, extraño la versión mía que aguantaba todo por vos",car_9b4e72fa,,carousel,5,"A veces no duele la persona…
duele la historia que te inventaste.
Y sí, uno también tiene culpa por insistir.",,#f6f1e8,no_te_extrano_a_vos_extrano_la_version_mia_que_aguantaba_tod_retro3d_1778281494626.png,2026-05-08T23:04:57.099Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1778281509/mono_generator/no_te_extrano_a_vos_extrano_la_version_mia_que_aguantaba_tod_retro3d_1778281494626.png,mono_generator/no_te_extrano_a_vos_extrano_la_version_mia_que_aguantaba_tod_retro3d_1778281494626,2026-05-08T23:05:09.988Z,18191933449364931,17861364813687548,1097828466747607_122110402052734652,"[""122110401710734652"",""122110401752734652"",""122110401794734652"",""122110401854734652"",""122110401908734652"",""122110401956734652"",""122110402022734652""]",2026-05-08T23:23:28.377Z,published,done,done,done,free,1,1778282504786,2026-05-08T23:23:28.377Z,#tusa #despecho #amor #relaciones #colombia #frases #parati #real #sentimientos,,,,,,,,,,,
4,"No sé qué tengo más descontrolado: si la alimentación, las horas de sueño o la salud mental","No sé qué tengo más descontrolado: si la alimentación, las horas de sueño o la salud mental.",car_91c7aa65,,carousel,6,"Uno no está mal…
solo está cansado de intentar todo al tiempo.",,#0d0f14,no_se_que_tengo_mas_descontrolado_si_la_alimentacion_las_hor_retro3d_1778252475976.png,2026-05-08T15:01:19.601Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1778252491/mono_generator/no_se_que_tengo_mas_descontrolado_si_la_alimentacion_las_hor_retro3d_1778252475976.png,mono_generator/no_se_que_tengo_mas_descontrolado_si_la_alimentacion_las_hor_retro3d_1778252475976,2026-05-08T15:01:32.186Z,18370389046202558,17861311377687548,1097828466747607_122110276592734652,"[""122110276280734652"",""122110276328734652"",""122110276370734652"",""122110276418734652"",""122110276466734652"",""122110276520734652"",""122110276562734652""]",2026-05-08T15:02:55.688Z,published,done,done,done,free,,1778252454311,2026-05-08T15:02:55.688Z,#estres #vidaadulta #ansiedad #colombia #frases #parati #real #humor,,,,3,0,0,22,68,0.1364,0.1364,2026-05-22T05:06:11-05:00
5,"No estoy deprimido, estoy haciendo multitasking emocional","No estoy deprimido, estoy haciendo multitasking emocional",car_5f28ac90,,carousel,2,"La adultez es rara…
uno no sabe si está bien o simplemente acostumbrado.
Pero bueno, seguimos.",,#f6f1e8,no_estoy_deprimido_estoy_haciendo_multitasking_emocional_retro3d_1777906833405.png,2026-05-04T15:00:36.015Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777906847/mono_generator/no_estoy_deprimido_estoy_haciendo_multitasking_emocional_retro3d_1777906833405.png,mono_generator/no_estoy_deprimido_estoy_haciendo_multitasking_emocional_retro3d_1777906833405,2026-05-04T15:00:48.114Z,17950703456985170,17860683435687548,1097828466747607_122109233072734652,"[""122109232862734652"",""122109232910734652"",""122109232952734652"",""122109233000734652"",""122109233042734652""]",2026-05-04T15:01:55.418Z,published,done,done,done,free,,1777906825408,2026-05-04T15:01:55.418Z,#vidaadulta #realidad #ansiedad #colombia #frases #humor #parati #vida #existencial,,,,2,0,1,25,81,0.12,0.2,2026-05-22T05:06:11-05:00
6,"A la mierda las apps de citas, a la gente se le conoce en la calle.","A la mierda las apps de citas, a la gente se le conoce en la calle.",car_6d28b0e5,,carousel,5,"Soltera sí…
pero no desesperada.
Una cosa es querer amor y otra aceptar cualquier problema.",,#e53935,a_la_mierda_las_apps_de_citas_a_la_gente_se_le_conoce_en_la__retro3d_1777993658862.png,2026-05-05T15:07:41.938Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777993676/mono_generator/a_la_mierda_las_apps_de_citas_a_la_gente_se_le_conoce_en_la__retro3d_1777993658862.png,mono_generator/a_la_mierda_las_apps_de_citas_a_la_gente_se_le_conoce_en_la__retro3d_1777993658862,2026-05-05T15:07:57.064Z,18108563002901617,17860857186687548,1097828466747607_122109537176734652,"[""122109536876734652"",""122109536918734652"",""122109536966734652"",""122109537014734652"",""122109537056734652"",""122109537098734652"",""122109537134734652""]",2026-05-05T15:09:11.734Z,published,done,done,done,free,,1777993641213,2026-05-05T15:09:11.734Z,#solteria #amorpropio #relaciones #colombia #frases #parati #humor #real #viral,,,,5,0,1,31,109,0.1935,0.2581,2026-05-22T05:06:11-05:00
8,"Ono vive más sabroso cuando entiende que a veces toca relajarse y dejar que todo se vaya pa donde quiera, así sea para la mierda.","Uno vive más sabroso cuando entiende que a veces toca relajarse y dejar que todo se vaya pa donde quiera, así sea para la mierda",car_5f28ac90,,carousel,7,"La adultez es rara…
uno no sabe si está bien o simplemente acostumbrado.
Pero bueno, seguimos.",,#f6f1e8,uno_vive_mas_sabroso_cuando_entiende_que_a_veces_toca_relaja_retro3d_1777906841853.png,2026-05-04T15:00:44.504Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777906851/mono_generator/uno_vive_mas_sabroso_cuando_entiende_que_a_veces_toca_relaja_retro3d_1777906841853.png,mono_generator/uno_vive_mas_sabroso_cuando_entiende_que_a_veces_toca_relaja_retro3d_1777906841853,2026-05-04T15:00:52.187Z,17950703456985170,17860683435687548,1097828466747607_122109233072734652,"[""122109232862734652"",""122109232910734652"",""122109232952734652"",""122109233000734652"",""122109233042734652""]",2026-05-04T15:01:55.418Z,published,done,done,done,free,,1777906825408,2026-05-04T15:01:55.418Z,#vidaadulta #realidad #ansiedad #colombia #frases #humor #parati #vida #existencial,,,,2,0,1,25,81,0.12,0.2,2026-05-22T05:06:11-05:00
9,"Quítenle los vapes a las flacas, parecen incienso","Quítenle los vapes a las flacas, parecen incienso.",,Hay modas que simplemente no deberían existir.,single,,,,#3d5afe,quitenle_los_vapes_a_las_flacas_parecen_incienso_retro3d_1777986416958.png,2026-05-05T13:06:59.838Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777986422/mono_generator/quitenle_los_vapes_a_las_flacas_parecen_incienso_retro3d_1777986416958.png,mono_generator/quitenle_los_vapes_a_las_flacas_parecen_incienso_retro3d_1777986416958,2026-05-05T13:07:02.506Z,17963920355921323,17860835406687548,1097828466747607_122109516506734652,122109516488734652,2026-05-05T13:07:20.472Z,published,done,done,done,free,,1777986413006,2026-05-05T13:07:20.472Z,#humor #colombia #frases #parati #real,,,,4,0,0,35,65,0.1143,0.1143,2026-05-22T05:06:11-05:00
10,Sangrar una vez al mes por una vida de mentiras me parece un trato justo.,Sangrar una vez al mes por una vida de mentiras me parece un trato justo.,,La vida es un ciclo… y a veces uno duda del trato.,single,,,,#f6f1e8,sangrar_una_vez_al_mes_por_una_vida_de_mentiras_me_parece_un_retro3d_1778000963200.png,2026-05-05T17:09:27.245Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1778000970/mono_generator/sangrar_una_vez_al_mes_por_una_vida_de_mentiras_me_parece_un_retro3d_1778000963200.png,mono_generator/sangrar_una_vez_al_mes_por_una_vida_de_mentiras_me_parece_un_retro3d_1778000963200,2026-05-05T17:09:30.877Z,18102211915962374,17860872591687548,1097828466747607_122109561356734652,122109561338734652,2026-05-05T17:09:51.147Z,published,done,done,done,free,,1778000955811,2026-05-05T17:09:51.147Z,#humor #frases #colombia #parati #real,,,,2,0,0,25,52,0.08,0.08,2026-05-22T05:06:11-05:00
11,"Los hombres dicen que quieren paz, pero buscan mujeres que los desestabilicen","Los hombres dicen que quieren paz, pero buscan mujeres que los desestabilicen.",car_4b81ed90,,carousel,5,"El problema nunca fue el amor…
fue a quién se lo diste.",,#f6f1e8,los_hombres_dicen_que_quieren_paz_pero_buscan_mujeres_que_lo_retro3d_1777821019376.png,2026-05-03T15:10:21.216Z,https://res.cloudinary.com/dymjyoqac/image/upload/v1777821029/mono_generator/los_hombres_dicen_que_quieren_paz_pero_buscan_mujeres_que_lo_retro3d_1777821019376.png,mono_generator/los_hombres_dicen_que_quieren_paz_pero_buscan_mujeres_que_lo_retro3d_1777821019376,2026-05-03T15:10:29.558Z,17932470390071706,17860516188687548,1097828466747607_122109003644734652,"[""122109003284734652"",""122109003368734652"",""122109003428734652"",""122109003470734652"",""122109003524734652"",""122109003566734652"",""122109003614734652""]",2026-05-03T15:11:57.530Z,published,done,done,done,free,,1777821009262,2026-05-03T15:11:57.530Z,#amor #relaciones #tusa #colombia #frases #parati #real #toxico,,,,8,0,0,54,151,0.1481,0.1481,2026-05-22T05:06:11-05:00
